charger id,current,delta_current,voltage,delta_voltage,power (W),expected_load,status,location,temperature,class
139,0.0,-0.18,2.0,1.96,28.9,0,OFF,"(37.72, -122.43)",16.6,0
140,22.55,-0.88,419.0,3.73,9393.0,8241,CHARGING,"(35.48, 139.47)",29.3,0
141,15.33,-0.03,415.7,5.02,6351.2,10519,CHARGING,"(34.04, -118.28)",35.8,0
142,18.77,0.53,519.8,-1.94,9974.0,8615,CHARGING,"(35.61, 139.69)",33.1,0
143,24.23,-0.19,562.7,-8.64,13674.8,9760,CHARGING,"(48.67, 2.23)",32.4,0
144,1.12,0.3,23.8,-3.91,122.9,59,IDLE,"(35.73, 139.71)",19.7,0
145,14.66,-0.18,483.2,-5.49,7046.4,6942,CHARGING,"(48.77, 2.86)",28.8,0
146,11.81,-0.68,552.6,1.9,6436.3,7176,CHARGING,"(28.88, 77.26)",31.7,0
147,18.57,0.15,590.8,7.95,11328.1,8229,CHARGING,"(41.77, 12.23)",37.8,0
148,0.0,0.32,3.9,-2.96,27.3,0,IDLE,"(51.39, -0.04)",21.1,0
149,16.96,-0.55,407.7,-1.09,6713.4,10497,CHARGING,"(52.38, 13.55)",28.1,0
150,22.07,0.7,504.2,-4.21,10980.0,6937,CHARGING,"(51.53, -0.15)",22.5,0
151,5.0,-0.62,505.5,-5.08,2683.7,8947,CHARGING,"(35.63, 139.69)",41.8,0
152,0.0,-0.68,0.0,-0.01,0.0,0,OFF,"(48.6, 2.21)",17.9,0
153,17.59,-1.15,523.6,0.06,9164.2,13363,CHARGING,"(37.86, -122.5)",43.0,0
154,6.22,-0.65,427.7,-51.09,2593.1,2512,SAFE MODE,"(48.74, 2.21)",41.3,1
155,13.35,-0.25,703.8,5.76,9203.1,10106,CHARGING,"(35.82, 139.77)",36.6,0
156,11.66,0.36,534.4,9.22,6059.0,8085,CHARGING,"(41.8, 12.75)",23.4,0
157,15.88,-0.31,559.4,-6.56,8753.4,8316,CHARGING,"(35.69, 139.81)",36.0,0
158,0.19,0.31,0.0,1.53,30.2,0,OFF,"(-33.85, 151.24)",30.5,0
159,0.0,16.42,281.1,-16.2,29.9,0,ERROR,"(34.0, -118.35)",59.6,2
160,10.81,-5.71,442.2,35.2,4632.7,4308,ERROR,"(41.81, 12.44)",53.3,1
161,17.57,-0.73,525.7,-4.4,8884.4,9892,CHARGING,"(35.58, 139.75)",25.6,0
162,17.03,-0.04,487.8,0.1,8276.7,11820,CHARGING,"(35.49, 139.69)",46.1,0
163,25.28,-1.72,433.8,-3.92,11010.4,9034,CHARGING,"(37.57, -122.06)",34.5,0
164,19.98,-0.4,553.9,3.08,10603.2,13134,CHARGING,"(52.48, 13.38)",37.1,0
165,0.55,0.17,0.0,0.32,0.0,0,IDLE,"(35.85, 139.65)",17.7,0
166,18.93,22.35,415.7,-68.42,7361.1,6710,SAFE MODE,"(40.61, -73.97)",40.1,2
167,21.24,-0.21,680.3,-11.32,15117.0,12896,CHARGING,"(40.85, -73.89)",38.8,0
168,1.59,-0.88,0.0,2.67,73.0,0,IDLE,"(42.04, 12.49)",22.4,0
169,21.97,0.31,581.6,-1.65,13153.0,12587,CHARGING,"(52.66, 13.3)",33.0,0
170,19.18,-0.4,478.1,-32.64,9403.0,6111,ERROR,"(42.01, 12.61)",53.0,1
171,24.79,-0.77,610.6,0.76,15190.1,10781,CHARGING,"(-33.55, 151.1)",42.2,0
172,5.0,0.31,525.8,6.88,2738.2,6911,CHARGING,"(38.03, -122.3)",31.4,0
173,2.42,-0.71,37.9,1.56,95.0,44,IDLE,"(40.69, -74.0)",18.8,0
174,15.98,0.09,547.9,-5.43,8654.9,6750,CHARGING,"(51.74, -0.24)",30.5,0
175,13.11,0.48,566.9,-0.98,7452.4,6876,CHARGING,"(37.84, -122.11)",25.2,0
176,17.81,-1.18,464.3,-1.88,8672.1,11236,CHARGING,"(51.33, -0.25)",31.8,0
177,0.0,-0.25,0.0,-1.2,61.0,6,IDLE,"(-34.04, 151.28)",21.3,0
178,0.36,-0.43,8.5,0.43,0.0,0,IDLE,"(-34.14, 151.5)",14.6,0
179,0.0,0.28,0.0,-1.21,0.0,0,OFF,"(28.69, 77.43)",22.7,0
180,0.0,0.4,15.6,-0.71,0.0,0,IDLE,"(35.67, 139.68)",22.3,0
181,8.91,-15.65,521.4,70.17,4816.6,1460,CHARGING,"(28.43, 77.26)",60.4,2
182,22.73,0.16,594.9,1.42,13489.3,12022,CHARGING,"(34.05, -118.19)",38.1,0
183,0.82,0.71,9.1,-3.65,0.0,15,IDLE,"(51.24, -0.24)",25.3,0
184,28.26,-0.18,523.7,-10.02,15360.3,6865,CHARGING,"(35.71, 139.68)",33.1,0
185,0.0,-0.0,1.1,1.01,0.0,0,OFF,"(41.86, 12.52)",17.0,0
186,21.66,-0.29,571.8,1.4,12197.2,9376,CHARGING,"(35.46, 139.75)",38.2,0
187,0.31,-0.03,0.0,-0.59,68.1,0,OFF,"(33.95, -118.03)",29.5,0
188,0.0,-0.11,488.0,-59.99,0.0,2980,SAFE MODE,"(48.87, 2.51)",61.7,1
189,15.26,-0.09,603.3,13.8,8898.2,12001,CHARGING,"(51.49, -0.08)",26.5,0
190,53.73,-10.31,447.7,-41.1,24354.3,4920,ERROR,"(51.45, -0.2)",51.2,1
191,14.83,0.27,450.9,-1.68,6817.3,7536,CHARGING,"(33.89, -118.25)",31.6,0
192,0.27,0.21,0.0,-0.58,24.0,0,OFF,"(35.83, 139.75)",22.9,0
193,21.31,0.62,487.4,-1.9,10525.7,11596,CHARGING,"(35.58, 139.65)",33.8,0
194,46.68,-1.05,442.9,-2.41,20880.4,17476,CHARGING,"(28.59, 77.0)",30.3,0
195,24.91,1.2,439.3,-6.81,10830.5,12074,CHARGING,"(28.57, 77.11)",37.3,0
196,17.97,-0.86,447.7,-4.86,8048.9,10519,CHARGING,"(52.9, 13.33)",36.6,0
197,20.8,-0.22,516.8,-5.31,10655.7,6967,CHARGING,"(35.79, 139.61)",33.1,0
198,0.78,0.45,0.0,0.58,0.0,0,IDLE,"(28.53, 77.2)",22.6,0
199,0.0,-0.35,0.0,0.32,0.0,0,OFF,"(28.58, 76.99)",17.3,0
200,9.54,-8.99,471.4,133.45,4404.8,3576,SAFE MODE,"(37.57, -122.31)",34.2,2
201,0.0,-0.95,451.4,-58.55,7.7,1234,SAFE MODE,"(28.46, 77.36)",59.9,1
202,1.1,-0.14,9.3,-1.31,77.0,0,IDLE,"(-33.98, 151.2)",21.3,0
203,12.13,0.01,570.9,8.68,6770.0,8635,CHARGING,"(40.51, -74.06)",35.0,0
204,0.73,-0.8,25.4,1.25,26.3,0,IDLE,"(28.29, 77.39)",16.8,0
205,8.4,-1.25,421.2,-36.82,3561.6,4880,SAFE MODE,"(51.77, -0.07)",54.9,1
206,0.71,-0.2,10.9,0.96,31.2,44,IDLE,"(35.52, 139.75)",18.4,0
207,0.0,3.17,0.8,14.18,40.5,0,OFF,"(28.48, 77.03)",43.5,1
208,23.14,-0.94,520.5,13.3,12042.2,11295,CHARGING,"(41.96, 12.55)",27.2,0
209,0.0,0.3,0.0,1.11,0.0,0,OFF,"(33.84, -118.11)",21.6,0
210,1.12,0.55,40.6,1.54,23.3,0,IDLE,"(37.84, -122.55)",24.7,0
211,0.17,-0.13,0.0,-0.08,42.3,0,OFF,"(40.71, -74.16)",25.8,0
212,0.05,0.73,0.3,-0.4,57.3,0,OFF,"(48.91, 2.5)",22.0,0
213,9.69,0.65,588.1,-2.29,5633.2,6786,CHARGING,"(28.81, 77.24)",28.9,0
214,0.28,-0.43,6.7,0.12,13.7,33,IDLE,"(35.56, 139.63)",22.3,0
215,9.82,0.66,556.7,-8.69,5286.0,10776,CHARGING,"(38.0, -122.48)",29.7,0
216,13.88,-0.45,547.7,-3.8,7606.5,7214,CHARGING,"(41.96, 12.55)",32.4,0
217,17.81,0.02,512.4,5.76,9305.2,9795,CHARGING,"(28.67, 77.11)",25.1,0
218,0.59,0.18,0.0,-5.65,25.8,0,OFF,"(41.8, 12.39)",27.8,0
219,16.72,0.58,523.5,1.33,8466.8,7285,CHARGING,"(40.7, -74.07)",30.4,0
220,0.0,-0.16,19.7,0.11,0.0,54,IDLE,"(35.76, 139.65)",24.8,0
221,1.51,-19.56,406.6,-25.78,662.2,2121,SAFE MODE,"(35.42, 139.59)",49.0,2
222,21.99,0.42,511.2,-3.13,11146.5,10129,CHARGING,"(40.7, -73.94)",33.1,0
223,10.16,5.6,465.6,26.7,4821.8,4572,SAFE MODE,"(52.41, 13.25)",36.7,1
224,16.38,1.04,498.2,-9.26,8326.9,7404,CHARGING,"(37.81, -122.45)",34.5,0
225,13.4,1.03,419.2,0.82,5804.1,7684,CHARGING,"(28.85, 77.16)",18.4,0
226,13.56,1.62,508.5,-3.49,6991.2,10755,CHARGING,"(-33.78, 151.13)",31.2,0
227,16.75,0.06,613.0,4.19,10240.5,9893,CHARGING,"(33.88, -118.2)",35.6,0
228,32.03,-0.55,415.6,0.36,13215.4,12540,CHARGING,"(51.48, -0.02)",42.9,0
229,0.0,-0.39,2.8,-1.43,0.0,0,IDLE,"(37.84, -122.72)",23.1,0
230,21.8,-0.21,549.1,7.36,12240.6,7386,CHARGING,"(34.07, -118.31)",37.8,0
231,1.08,-0.91,0.0,0.64,0.0,0,IDLE,"(34.02, -118.28)",18.6,0
232,8.03,-0.19,634.4,1.66,5290.0,9527,CHARGING,"(52.33, 13.56)",39.5,0
233,0.06,0.36,1.4,-0.66,0.0,0,OFF,"(33.65, -118.26)",14.5,0
234,10.52,-0.14,531.8,6.76,5586.9,8963,CHARGING,"(28.46, 76.99)",28.0,0
235,40.23,-0.89,435.8,0.28,17494.0,9681,CHARGING,"(28.37, 77.09)",26.9,0
236,0.2,-0.01,7.4,1.33,15.0,104,IDLE,"(40.5, -74.07)",26.8,0
237,0.0,0.36,7.6,-2.68,10.3,94,IDLE,"(52.48, 13.32)",20.5,0
238,5.0,0.59,685.8,1.88,3496.5,6456,CHARGING,"(28.26, 77.21)",33.6,0
239,13.12,0.63,575.8,0.51,7439.0,9670,CHARGING,"(-33.85, 151.12)",42.6,0
240,20.01,-0.36,723.8,-1.44,14137.2,8225,CHARGING,"(51.55, -0.11)",42.3,0
241,0.0,-0.45,8.7,-0.36,7.3,10,IDLE,"(33.89, -118.09)",26.0,0
242,0.0,-1.17,5.8,-1.15,0.0,0,IDLE,"(28.62, 77.3)",9.6,0
243,0.51,0.19,16.2,2.08,57.3,0,IDLE,"(-33.9, 151.35)",22.9,0
244,19.94,-0.21,676.0,-0.6,13278.8,8930,CHARGING,"(34.07, -118.31)",35.8,0
245,1.18,0.35,494.2,-48.69,684.6,1652,SAFE MODE,"(35.43, 139.61)",58.7,1
246,14.3,0.53,504.8,-2.17,7426.3,9562,CHARGING,"(41.73, 12.33)",35.7,0
247,16.76,0.51,513.7,-0.1,8497.8,10267,CHARGING,"(28.69, 77.38)",35.6,0
248,2.64,0.36,13.6,1.99,0.0,0,IDLE,"(34.14, -118.1)",23.0,0
249,0.0,1.87,0.0,1.81,0.0,0,IDLE,"(37.63, -122.29)",19.1,0
250,16.84,-29.78,483.4,-106.93,8005.2,8919,ERROR,"(28.45, 77.02)",53.3,2
251,0.67,-0.4,18.5,0.61,26.7,0,IDLE,"(52.44, 13.3)",29.1,0
252,22.67,0.58,536.7,7.59,12034.8,10754,CHARGING,"(34.08, -118.19)",30.1,0
253,5.0,-0.79,586.7,7.66,3102.6,8936,CHARGING,"(40.7, -73.93)",36.6,0
254,17.76,0.07,604.3,-0.73,10464.5,7845,CHARGING,"(51.39, -0.29)",30.5,0
255,14.19,0.47,480.9,-6.4,6484.2,13017,CHARGING,"(28.65, 77.39)",32.2,0
256,0.0,-0.49,0.0,1.3,0.0,32,IDLE,"(40.79, -74.09)",21.1,0
257,5.0,-0.53,462.1,8.15,2278.9,9015,CHARGING,"(40.81, -74.04)",32.6,0
258,12.51,3.49,490.6,-10.0,6425.4,3417,ERROR,"(48.83, 2.32)",54.2,1
259,26.71,0.83,553.5,1.15,14454.5,11996,CHARGING,"(40.67, -73.82)",31.8,0
260,0.0,-0.04,0.0,-1.7,38.3,0,OFF,"(34.17, -118.12)",28.7,0
261,9.98,-0.86,567.5,5.27,5468.8,10230,CHARGING,"(40.53, -73.76)",22.6,0
262,5.0,-0.64,658.0,-2.27,3257.6,9006,CHARGING,"(52.37, 13.51)",34.1,0
263,0.0,0.9,17.9,2.93,0.0,0,IDLE,"(41.39, 12.52)",15.1,0
264,0.12,0.58,0.0,-0.07,8.4,0,OFF,"(35.79, 139.68)",23.7,0
265,18.53,0.34,547.6,0.07,9460.9,11631,CHARGING,"(33.92, -118.45)",39.4,0
266,22.22,0.92,466.9,-5.82,10310.5,15901,CHARGING,"(48.9, 2.48)",34.6,0
267,40.16,8.28,553.7,16.64,22386.8,3812,ERROR,"(37.9, -122.47)",49.7,1
268,24.05,-1.0,577.4,0.82,14184.5,13701,CHARGING,"(-33.67, 151.34)",29.8,0
269,77.27,2.55,315.6,-4.97,23701.4,5221,ERROR,"(-33.7, 151.28)",37.6,1
270,18.05,-0.17,509.4,0.84,9021.1,9789,CHARGING,"(51.68, -0.12)",33.6,0
271,13.79,-0.13,500.3,1.27,6632.2,10209,CHARGING,"(40.75, -74.14)",36.5,0
272,0.0,1.12,50.5,-3.09,0.0,0,IDLE,"(28.31, 77.2)",20.4,0
273,0.08,1.81,0.7,-1.73,0.0,0,OFF,"(-33.91, 151.07)",25.3,0
274,0.14,-0.88,0.9,-1.72,0.0,0,OFF,"(35.6, 139.61)",20.7,0
275,5.33,0.7,656.1,4.57,3635.6,9793,CHARGING,"(28.68, 77.13)",26.8,0
276,0.0,0.28,0.3,-1.37,0.0,33,IDLE,"(28.6, 77.57)",25.0,0
277,18.0,0.8,528.3,-4.83,9864.6,8469,CHARGING,"(37.56, -122.47)",33.7,0
278,1.96,-0.24,32.0,-0.63,61.3,0,IDLE,"(28.88, 77.07)",35.3,0
279,0.0,3.39,419.9,-8.74,23.1,3119,SAFE MODE,"(40.78, -74.14)",58.5,1
280,0.0,0.07,1.4,-1.95,37.4,0,OFF,"(51.45, -0.12)",22.3,0
281,0.0,-0.04,2.0,0.09,0.0,0,OFF,"(51.57, -0.05)",10.2,0
282,0.0,-0.91,1.2,1.1,93.3,0,OFF,"(33.94, -118.3)",17.7,0
283,12.24,-0.37,429.9,-9.69,5208.9,4424,SAFE MODE,"(-33.89, 151.28)",32.9,0
284,0.0,1.16,62.6,1.98,71.2,24,IDLE,"(40.56, -74.06)",24.7,0
285,0.0,0.0,27.7,1.51,56.8,0,IDLE,"(37.64, -122.34)",23.0,0
286,22.78,-10.48,358.1,-45.45,8194.4,7125,ERROR,"(40.89, -74.41)",33.8,1
287,10.34,-0.14,549.2,-6.68,5650.5,5791,CHARGING,"(48.76, 2.39)",37.2,0
288,0.0,-1.31,0.0,2.27,0.0,0,OFF,"(35.61, 139.38)",34.8,0
289,0.0,-0.24,652.9,-9.35,0.0,3995,ERROR,"(34.17, -118.11)",53.5,1
290,26.27,22.36,553.3,-8.21,14073.9,7843,CHARGING,"(52.53, 13.27)",43.4,2
291,0.0,0.08,2.6,-1.81,0.0,71,IDLE,"(52.49, 13.31)",19.5,0
292,19.81,-0.19,397.6,-5.67,7714.8,8113,CHARGING,"(51.45, -0.06)",33.1,0
293,0.0,-0.25,0.0,1.17,0.0,0,OFF,"(42.04, 12.57)",20.9,0
294,120.03,27.7,50.3,-4.08,5986.0,4785,ERROR,"(33.98, -118.34)",53.9,1
295,3.68,29.1,476.5,-74.09,1826.1,1814,SAFE MODE,"(34.13, -118.45)",58.4,2
296,31.25,-0.48,494.0,2.68,15628.6,13431,CHARGING,"(48.7, 2.39)",31.0,0
297,0.0,0.34,52.1,-1.26,0.0,61,IDLE,"(48.73, 2.34)",21.2,0
298,0.0,1.3,28.5,0.93,7.2,64,IDLE,"(33.99, -118.2)",24.5,0
299,21.38,0.44,491.1,1.24,11039.7,8250,CHARGING,"(-33.76, 151.18)",26.0,0
300,0.79,-0.72,30.3,-2.42,27.7,22,IDLE,"(28.57, 77.31)",32.4,0
301,29.83,1.27,286.2,-13.43,8374.4,3483,ERROR,"(40.86, -73.94)",51.1,1
302,20.96,-0.41,469.4,-7.0,9676.9,8476,CHARGING,"(48.79, 2.53)",32.3,0
303,13.72,0.23,543.2,-2.84,7542.7,6783,CHARGING,"(51.38, -0.2)",33.8,0
304,158.26,36.12,95.9,-6.51,15203.7,9252,ERROR,"(35.64, 139.81)",40.7,2
305,11.4,-0.28,482.0,-6.26,5787.5,7013,CHARGING,"(51.36, -0.24)",29.7,0
306,16.07,-0.54,561.3,1.88,8989.7,10795,CHARGING,"(35.79, 140.02)",41.9,0
307,0.08,-0.33,16.1,0.47,0.0,76,IDLE,"(-33.92, 151.09)",24.9,0
308,1.35,-0.19,36.2,2.23,0.0,43,IDLE,"(48.68, 2.5)",28.5,0
309,18.77,0.42,389.4,5.25,7211.3,6742,CHARGING,"(37.72, -122.2)",25.6,0
310,33.0,0.18,645.3,-3.41,20513.6,14221,CHARGING,"(37.65, -122.5)",40.9,0
311,11.59,0.48,508.4,-3.92,5754.5,7586,CHARGING,"(41.9, 12.41)",32.5,0
312,0.0,0.21,1.4,2.91,0.0,0,OFF,"(40.66, -73.91)",18.9,0
313,24.93,0.08,558.7,1.44,14450.8,8897,CHARGING,"(41.81, 12.31)",36.0,0
314,5.0,0.37,534.8,4.13,2693.3,6750,CHARGING,"(-33.97, 151.31)",28.6,0
315,5.0,0.48,507.8,-3.83,2547.6,6975,CHARGING,"(37.78, -122.3)",29.0,0
316,45.83,-2.38,381.7,-6.63,17240.6,13673,CHARGING,"(51.49, -0.12)",27.3,0
317,2.8,-10.71,345.5,5.2,1080.2,2094,SAFE MODE,"(37.77, -122.41)",41.0,2
318,1.99,-0.23,7.0,-1.13,78.5,0,IDLE,"(41.86, 12.18)",19.9,0
319,25.94,0.35,508.1,-0.24,13325.9,16172,CHARGING,"(37.93, -122.19)",31.9,0
320,5.0,0.5,489.5,-2.97,2429.7,7167,CHARGING,"(34.08, -118.14)",34.9,0
321,9.47,0.35,541.3,-9.32,5197.9,7668,CHARGING,"(-33.95, 151.21)",32.3,0
322,16.67,0.07,462.1,5.07,8106.0,7188,CHARGING,"(-33.66, 151.06)",32.3,0
323,1.2,0.25,6.0,-0.65,0.0,19,IDLE,"(35.88, 139.85)",28.1,0
324,5.09,-0.5,440.0,-3.91,2081.6,7293,CHARGING,"(37.51, -122.39)",33.4,0
325,10.59,0.35,493.0,-4.12,5261.3,7280,CHARGING,"(40.88, -74.04)",29.7,0
326,16.37,0.76,492.5,-4.69,8396.1,7998,CHARGING,"(-33.79, 151.0)",31.9,0
327,5.0,0.24,476.4,5.65,2626.6,4255,CHARGING,"(28.72, 77.27)",39.5,0
328,11.09,0.32,617.3,6.28,7035.2,7663,CHARGING,"(37.95, -122.57)",33.5,0
329,0.0,8.24,416.4,40.4,0.0,10391,ERROR,"(41.92, 12.57)",45.0,1
330,30.21,-0.61,631.1,-0.49,19214.9,13103,CHARGING,"(34.01, -118.22)",33.3,0
331,10.2,0.59,570.7,-1.43,5400.4,10028,CHARGING,"(51.71, -0.13)",33.9,0
332,15.62,-1.04,487.9,5.35,7825.2,13352,CHARGING,"(51.34, -0.12)",28.2,0
333,21.01,-0.79,628.0,11.66,12982.0,10320,CHARGING,"(37.7, -122.51)",37.2,0
334,6.71,-0.11,602.3,2.31,4186.5,1179,CHARGING,"(40.85, -74.02)",41.6,0
335,23.32,-0.93,506.2,2.29,11879.5,12491,CHARGING,"(-34.0, 151.03)",26.0,0
336,25.56,-0.13,456.3,1.01,12072.4,8210,CHARGING,"(35.66, 139.84)",27.9,0
337,1.18,-4.07,237.9,-17.53,265.4,6744,ERROR,"(35.73, 139.76)",47.2,1
338,0.0,-4.55,466.4,69.76,5.4,3551,ERROR,"(40.52, -73.9)",52.5,1
339,14.25,0.01,540.4,-4.26,7834.1,9454,CHARGING,"(37.68, -122.27)",44.2,0
340,0.0,0.65,0.0,-2.8,0.0,0,OFF,"(28.78, 77.19)",24.7,0
341,5.33,0.42,591.8,-8.42,3215.6,2934,SAFE MODE,"(37.55, -122.29)",40.4,0
342,7.04,-0.24,603.9,0.37,4065.8,8074,CHARGING,"(51.53, -0.16)",29.3,0
343,0.51,-0.35,0.0,1.94,10.2,0,IDLE,"(28.49, 77.09)",19.3,0
344,0.0,2.91,0.0,-8.08,76.6,0,OFF,"(34.07, -118.26)",33.3,1
345,0.9,1.02,13.2,0.46,57.8,0,IDLE,"(28.74, 76.9)",18.0,0
346,0.0,-0.53,9.8,1.52,0.0,5,IDLE,"(52.5, 13.61)",21.0,0
347,19.88,-0.26,511.6,-6.55,10297.5,11027,CHARGING,"(51.6, -0.32)",31.9,0
348,0.0,0.97,0.0,-2.87,0.0,0,OFF,"(52.6, 13.3)",20.6,0
349,7.57,-1.01,350.0,0.65,2600.4,4174,CHARGING,"(37.66, -122.53)",27.9,0
350,6.67,4.9,491.5,-19.06,3210.6,3650,SAFE MODE,"(51.33, -0.17)",43.2,1
351,7.11,-0.66,509.4,-1.44,3793.6,3991,SAFE MODE,"(28.64, 77.14)",34.7,0
352,7.08,-4.7,524.9,11.26,3671.7,2753,SAFE MODE,"(35.55, 139.69)",49.8,1
353,0.0,-0.19,61.2,-0.86,67.9,0,IDLE,"(-34.03, 151.16)",21.1,0
354,0.0,-5.68,529.8,-29.46,19.8,7024,ERROR,"(28.53, 77.33)",41.7,1
355,23.55,0.04,350.0,-6.04,8437.5,5410,CHARGING,"(40.69, -73.62)",24.4,0
356,27.5,-0.43,501.8,-1.33,13370.9,7930,CHARGING,"(37.76, -122.26)",37.6,0
357,23.95,0.36,622.9,0.67,14124.4,10651,CHARGING,"(51.49, -0.15)",46.2,0
358,7.0,1.53,590.4,-76.19,3988.5,3229,SAFE MODE,"(41.61, 12.58)",44.6,1
359,0.0,-0.15,40.0,0.08,94.0,0,IDLE,"(52.4, 13.36)",18.8,0
360,27.88,1.04,431.8,-3.43,12116.7,9159,CHARGING,"(35.69, 139.8)",35.2,0
361,15.64,0.45,570.2,12.28,8976.1,9621,CHARGING,"(-34.16, 151.22)",39.7,0
362,32.09,0.35,596.2,-2.11,18947.2,11615,CHARGING,"(40.72, -74.14)",42.1,0
363,25.15,-0.55,396.3,-2.72,9876.6,8485,CHARGING,"(52.46, 13.37)",27.0,0
364,0.0,-1.53,32.9,-1.27,11.8,0,IDLE,"(51.57, -0.27)",24.4,0
365,17.0,0.62,641.6,-7.05,11260.0,8659,CHARGING,"(40.61, -73.89)",37.0,0
366,21.45,-0.42,558.9,1.49,12299.7,5795,CHARGING,"(41.87, 12.31)",33.2,0
367,0.0,23.55,423.4,13.45,5.3,6147,ERROR,"(52.72, 13.45)",49.6,2
368,0.0,-0.59,3.0,1.17,0.0,0,IDLE,"(-33.87, 151.12)",18.8,0
369,0.0,-0.43,0.3,0.42,16.0,0,OFF,"(37.95, -122.58)",20.1,0
370,5.0,-0.17,521.1,4.2,2594.4,4989,CHARGING,"(48.81, 2.47)",37.3,0
371,21.15,0.29,609.5,1.3,12512.5,6653,CHARGING,"(-33.89, 151.15)",32.8,0
372,15.62,-0.08,485.2,-11.44,7815.3,10309,CHARGING,"(40.81, -73.95)",32.9,0
373,17.22,-6.18,620.7,8.84,10755.1,12478,CHARGING,"(40.69, -74.14)",33.8,2
374,25.61,-0.47,419.0,-1.03,10802.4,7253,CHARGING,"(41.91, 12.42)",40.7,0
375,0.0,0.24,24.4,-0.53,0.0,72,IDLE,"(48.96, 2.29)",9.4,0
376,0.0,-0.41,44.8,-1.02,64.6,69,IDLE,"(49.05, 2.67)",24.9,0
377,7.88,0.33,493.0,3.2,3709.3,6639,CHARGING,"(28.9, 77.23)",31.0,0
378,18.61,-1.99,394.1,0.92,7497.0,6127,CHARGING,"(51.46, -0.26)",27.3,0
